"director";"title";"country";"description";"release_year";"duration";"listed_in";"cast"
"Adriana Trigiani";"Big Stone Gap";"United States";"A single middle-aged woman who has lived her whole life in a small Virginia mining town uncovers a family secret that alters her profoundly.";2014;103;"Comedies, Romantic Movies";"Ashley Judd, Patrick Wilson, Whoopi Goldberg, John Benjamin Hickey, Jane Krakowski, Judith Ivey, Jasmine Guy, Chris Sarandon, Anthony LaPaglia, Jenna Elfman, Angelina Fiordellisi, Mary Testa, Dagmara Dominczyk, Mary Pat Gleason, Joe Inscoe, James Hampton, Paul Wilson"
"Eva Orner";"Bikram: Yogi, Guru, Predator";"United States";"This documentary charts the rise and fall of hot yoga founder Bikram Choudhury as his global empire is born and disturbing revelations come to light.";2019;86;"Documentaries";"Bikram Choudhury"
"Vonda Harrell, Daniel Camenisch";"Billy Graham: An Extraordinary Journey";"United States";"This documentary recounts the life story of evangelist preacher Billy Graham featuring interviews with family members and former presidents.";2018;66;"Documentaries, Faith & Spirituality";"Billy Graham, Jeff Hoyt, Tom Brokaw, Greta Van Susteren, Diane Sawyer, Larry King, George Bush Sr., George W. Bush, Bill Clinton, Franklin Graham"
"Susanne Bier";"Bird Box";"United States";"Five years after an ominous unseen presence drives most of society to suicide, a survivor and her two children make a desperate bid to reach safety.";2018;124;"Dramas, Sci-Fi & Fantasy, Thrillers";"Sandra Bullock, Trevante Rhodes, John Malkovich, Sarah Paulson, BD Wong, Jacki Weaver, Rosa Salazar, Danielle Macdonald, Lil Rel Howery, Tom Hollander"
"Otilia Portillo Padua";"Birders";"United States, Mexico";"Bird watchers on both sides of the U.S.-Mexico border share their enthusiasm for protecting and preserving some of the world's most beautiful species.";2019;38;"Documentaries, International Movies";NA
"Marianna Palka";"Bitch";"United States";"Cracking under the demands of children and a philandering, thankless husband, an overworked suburban mother assumes the persona of a ferocious dog.";2017;97;"Comedies, Dramas, Independent Movies";"Jason Ritter, Jaime King, Marianna Palka, Brighton Sharbino, Rio Mangini, Jason Maybaum, Kingston Foster, Arielle Kebbel, Martin Starr, Roger Guenveur Smith, Caroline Aaron, Bill Smitrovich"
"Raja Chanda";"Black";"India";"A small-town man takes on a dangerous gangster to avenge his father, a police officer who ended his own life after being framed in a deadly crime.";2015;137;"Action & Adventure, International Movies";"Soham Chakraborty, Bidya Sinha Mim, Ashish Vidyarthi, Rajatabha Dutta, Rudranil Ghosh, Kharaj Mukherjee"
"Gabriela Cowperthwaite";"Blackfish";"United States";"This fascinating documentary examines the life of performing killer whale Tilikum, who has caused the deaths of several people while in captivity.";2013;83;"Documentaries";NA
"Caroline Suh";"BLACKPINK: Light Up the Sky";"United States";"Record-shattering Korean girl band BLACKPINK tell their story — and detail the hard-fought journey of the dreams and trials behind their meteoric rise.";2020;80;"Documentaries, Music & Musicals";"Blackpink"
"July Hygreck";"Blockbuster";"France";"Dumped over a video he made to amuse his ailing dad, a heartsick Jérémy hatches an elaborate scheme to win back his superhero-loving girlfriend, Lola.";2017;85;"Comedies, Independent Movies, International Movies";"Syrus Shahidi, Lionel Abelanski, Charlotte Gabris, Tom Hygreck, Sylvain Quimene, Laura Boujenah, Foed Amara"
"Elvira Lind";"Bobbi Jene";"Denmark, Sweden, Israel, United States";"This candid profile follows dancer Bobbi Jene Smith as she leaves the company of Israeli choreographer Ohad Naharin to forge her own artistic path.";2017;99;"Documentaries";"Bobbi Jene Smith"
"Samar Shaikh";"Bobby Jasoos";"India";"With unlimited determination and zero field experience, a small-town detective accepts a lucrative case from a mysterious – and suspicious – stranger.";2014;116;"Comedies, Dramas, International Movies";"Vidya Balan, Ali Fazal, Supriya Pathak, Tanvi Azmi, Zarina Wahab, Kiran Kumar, Rajendra Gupta, Arjan Bajwa, Prasad Barve, Aakash Dahiya"
"Pia Sukanya";"Bombairiya";"United Arab Emirates, United Kingdom, India";"A PR agent trying to find her stolen phone, a politician in trouble, and a fading celebrity find their lives intertwining in unexpected, messy ways.";2018;108;"Comedies, Dramas, International Movies";"Radhika Apte, Siddhant Kapoor, Akshay Oberoi, Adil Hussain, Amit Sial, Ravi Kishan, Ajinkya Deo, Shilpa Shukla"
"Alexandra Dean";"Bombshell: The Hedy Lamarr Story";"United States";"An unearthed audio interview of Hollywood icon Hedy Lamarr reveals a woman with brains as well as beauty, who was the first to patent frequency hopping.";2017;89;"Documentaries";"Hedy Lamarr"
"Gayane Petrosyan";"Born to Be Free";"United Kingdom, Russia";"Casting a light on the mistreatment of sea mammals, this documentary follows the plight of 18 Beluga whales kept in captivity for years.";2016;74;"Documentaries, International Movies";"Casting a light on the mistreatment of sea mammals, this documentary follows the plight of 18 Beluga whales kept in captivity for years."
"Mar Targarona";"Boy Missing";"Spain";"When her son is kidnapped and later found traumatized, a lawyer takes justice into her own hands, causing events that spiral out of control.";2016;105;"International Movies, Thrillers";"Blanca Portillo, Antonio Dechent, Vicente Romero, Marc Domènech, Nausicaa Bonnín, Andrés Herrera, José Coronado, Macarena Gómez, Paco Manzanedo, Sergi Subirà"
"Sandra Restrepo";"Brené Brown: The Call to Courage";NA;"With humor and empathy, Brené Brown discusses what it takes to choose courage over comfort in a culture defined by scarcity, fear and uncertainty.";2019;77;"Documentaries";"Brené Brown"
"Mae Czarina Cruz";"Bride For Rent";"Philippines";"Rocco needs to hire a bride so he can access his trust fund. Rocky desperately needs a job. Their marriage starts out fake, but ends up as much more.";2014;110;"Comedies, International Movies, Romantic Movies";"Kim Chiu, Xian Lim, Empoy Marquez, Martin del Rosario, Pilita Corrales, Tirso Cruz III, Dennis Padilla, Matt Evans, Lloyd Zaragoza, Zeppi Borromeo"
"Lu Yang";"Brotherhood of Blades II: The Infernal Battlefield";"China";"While tracking down a seditious painter, an imperial guard is accused of a royal assassination attempt and framed in a complicated conspiracy.";2017;120;"Action & Adventure, International Movies";"Chang Chen, Yang Mi, Zhang Yi, Lei Jiayin, Xin Zhilei, Shih Chieh King"
"Anvita Dutt";"Bulbbul";"India";"A child bride grows up to be an enigmatic woman presiding over her household, harboring a painful past as supernatural murders of men plague her village.";2020;94;"Horror Movies, International Movies";"Tripti Dimri, Avinash Tiwary, Rahul Bose, Parambrata Chatterjee, Paoli Dam, Veera Kapur Ee"
"Rima Das";"Bulbul Can Sing";"India";"Exploring their sexual identities in the face of the patriarchal rules of their Assamese village, a teenager and her two friends are rocked by tragedy.";2018;95;"Dramas, Independent Movies, International Movies";"Arnali Das, Manoranjan Das, Banita Thakuriya, Manabendra Das, Deepjyoti Kalita, Pakija Begum"
"Sarah Adina Smith";"Buster's Mal Heart";"United States";"On the run from authorities, a troubled man recalls the mysterious events – and the strange drifter – that inspired his unusual transformation.";2016;98;"Independent Movies, Thrillers";"Rami Malek, DJ Qualls, Kate Lyn Sheil, Sukha Belle Potter, Toby Huss, Lin Shaye, Mark Kelly, Bruce Bundy, Teresa Yenque, Sandra Ellis Lafferty, Nicholas Pryor"
"Angelina Jolie";"By the Sea";"France, Malta, United States";"Troubled by the state of their marriage, Vanessa and Roland visit a French seaside town, where they have a fateful encounter with a pair of newlyweds.";2015;122;"Dramas, Romantic Movies";"Angelina Jolie, Brad Pitt, Mélanie Laurent, Melvil Poupaud, Niels Arestrup, Richard Bohringer"
"Momoko Kamiya";"Calico Critters: A Town of Dreams";NA;"Freya heads into town with her mother for a very special occasion: a dress designed by her sister Stella is going to be in a fashion show!";2017;11;"Children & Family Movies";NA
"Momoko Kamiya";"Calico Critters: Everyone's Big Dream Flying in the Sky";NA;"In the Hazelnut Chipmunk Family, Dominic is a little boy who loves to play, but a big moment will make him more grown-up on one memorable day.";2019;11;"Children & Family Movies";"Erika Harlacher"
"Momoko Kamiya";"Calico Critters: The Treasure of Calico Village";NA;"Freya and her friends inspire the mayor to put on a competition at the fete to pick the loveliest thing in Sylvanian Village.";2017;22;"Children & Family Movies";NA
"Lisa Arnold";"Camp Cool Kids";"United States";"A young boy attends summer camp, where he overcomes his fears, stands up to bullies and learns important lessons about faith and life.";2017;104;"Children & Family Movies, Comedies, Dramas";"Connor Rosen, Logan Shroyer, Michael Gross, Markie Post, Leigh-Allyn Baker, Juliocesar Chavez, Tyree Brown"
"Mae Czarina Cruz";"Can't Help Falling in Love";"Philippines";"Gab is eager to tie the knot with her handsome boyfriend, but there's a problem, and it's a doozy: She's already married to a total stranger.";2017;120;"Comedies, Dramas, International Movies";"Kathryn Bernardo, Daniel Padilla, Matteo Guidicelli, Zanjoe Marudo, Cherry Pie Picache, Lotlot De Leon, Dennis Padilla, Lito Pimentel, Joross Gamboa, Janus del Prado"
"Shanawaz Nellikunnil";"Candyflip";"India";"On the incandescent shores of Goa, a young man tumbles down a mind-bending – and soon dangerous – series of trips after taking hallucinatory drugs.";2017;104;"Dramas, Independent Movies, International Movies";"Prashant Prakash, Kalki Koechlin, Prakash Raj, Gulshan Devaiah, Valeriya Polyanychko"
"Maha Venkatesh";"Care of Kancharapalem";"India";"From a schoolboy’s crush to a middle-aged bachelor’s office romance, four love stories spanning age, religion and status unfold in a small Indian town.";2018;142;"Comedies, Dramas, Independent Movies";"Subba Rao Vepada, Radha Bessy, Kesava Karri, Nithyasri Goru, Karthik Rathnam, Praneetha Patnaik, Mohan Bhagath, Praveena Paruchuri"
"Arati Kadav";"Cargo";"India";"Aboard a spaceship where souls of the deceased are readied for reincarnation, a lone crew member’s rigid existence is disrupted by a spry new assistant.";2020;113;"Comedies, Dramas, Independent Movies";"Vikrant Massey, Shweta Tripathi, Nandu Madhav, Konkona Sen Sharma, Biswapati Sarkar, Ritwik Bhaumik, Prabal Panjabi, Hansal Mehta"
"Elsa Flores Almaraz, Richard J Montoya";"Carlos Almaraz: Playing with Fire";"United States";"Mixing archival footage with interviews, this film celebrates one of Los Angeles's most influential painters and Chicano art activists from the 1970s.";2019;83;"Documentaries, LGBTQ Movies";"Edward James Olmos, Zach De La Rocha"
"Susan Johnson";"Carrie Pilby";"United States";"A socially awkward 19-year-old genius makes big plans to step out of her shell and make a friend, get a job and – maybe – even go on a date.";2016;98;"Comedies, Dramas";"Bel Powley, Nathan Lane, Vanessa Bayer, Gabriel Byrne, Jason Ritter, Colin O'Donoghue, William Moseley, Desmin Borges"
"Kitty Green";"Casting JonBenet";"United States, Australia, China";"Local actors from JonBenet Ramsey's hometown offer multiple perspectives on her 1996 murder as they vie to play roles in a dramatization of the case.";2017;81;"Documentaries";NA
"Shalini Kantayya";"Catching the Sun";"China, Germany, India, United States";"This documentary explores the worldwide economics of the burgeoning solar energy industry and its impact on hopeful job seekers in the United States.";2015;74;"Documentaries";NA
"Yandy Laurens";"Cemara's Family";"Indonesia";"After bankruptcy, Abah and Emak must adapt to a new life with their children in a remote village.";2018;110;"Children & Family Movies, Dramas, International Movies";"Ringgo Agus Rahman, Nirina Zubir, Zara JKT48, Widuri Puteri, Ariyo Wahab, Asri Welas, Abdurrahman Arif, Kafin Sulthan"
"Dianne Dreyer";"Change in the Air";"United States";"When a secretive woman breezes into a quiet town, her subdued neighbors get swept up in curiosity over her ethereal presence.";2018;95;"Dramas";"Mary Beth Hurt, Rachel Brosnahan, Aidan Quinn, Olympia Dukakis, M. Emmet Walsh, Peter Gerety, Macy Gray, Satya Bhabha"
"Marita Grabiak";"Christmas Crush";"Canada, United States";"Twentysomething Georgia pines for her old boyfriend and is thrilled to have a second chance at love when she attends their high school reunion.";2012;87;"Comedies, Romantic Movies";"Rachel Boston, Jonathan Bennett, Jon Prescott, Sunny Mabrey, Julia Voth, Elizabeth Lauren Hoffman, Eileen April Boylan, Josh Crotty"
"Amal Neerad";"CIA: Comrade in America";"India";"A young man in Kerala has two weeks to stop the woman he loves from a fixed marriage in the U.S., but he doesn't have the papers to get there.";2017;130;"Action & Adventure, Dramas, International Movies";"Dulquer Salmaan, Karthika Muraleedharan, Siddique, Soubin Shahir, Dileesh Pothan, John Vijay, Chandini Sreedharan, Jinu Joseph, Sujith Shankar, Alencier Ley Lopez"
"Handan Ipekçi";"Cinar Agaci";"Turkey";"A matriarch and her grandson forge a special bond during family picnics every two months, until her health causes a conflict among the relatives.";2011;115;"Comedies, Dramas, International Movies";"Nurgül Yesilçay, Celile Toyon Uysal, Deniz Deha Lostar, Settar Tanriögen, Suzan Aksoy, Hüseyin Avni Danyal, Jülide Kural, Ragip Savas"
"Rachel Mason";"Circus of Books";"United States";"For decades, a nice Jewish couple ran Circus of Books, a porn shop and epicenter for gay LA. Their director daughter documents their life and times.";2020;87;"Documentaries, LGBTQ Movies";NA
"Madeleine Gavin";"City of Joy";"United States,";"Women who've been sexually brutalized in war-torn Congo begin to heal at City of Joy, a center that helps them regain a sense of self and empowerment.";2018;77;"Documentaries";NA
"Yesim Ustaoglu";"Clair Obscur";"Turkey, France, Germany, Poland";"While examining a young woman who has just murdered her husband and mother-in-law, a psychiatrist begins to reflect on her own marriage.";2016;102;"Dramas, International Movies";"Funda Eryigit, Ecem Uzun, Mehmet Kurtulus, Okan Yalabik, Serkan Keskin, Sema Poyraz"
"Lilly Wachowski, Lana Wachowski, Tom Tykwer";"Cloud Atlas";"Germany, United States, Hong Kong, Singapore";"In this star-studded drama, six seemingly disparate stories explore the complicated links that humanity shares through the generations.";2012;172;"Action & Adventure, Cult Movies, Dramas";"Tom Hanks, Halle Berry, Jim Broadbent, Hugo Weaving, Jim Sturgess, Doona Bae, Ben Whishaw, Keith David, James D'Arcy, Zhou Xun"
